run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,configname,No_Obstacles,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,datetime,20191117-11:17:12,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,experiment,No_Obstacles,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,inifile,omnetpp.ini,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,iterationvars,$0=0,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,iterationvarsf,0-,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,measurement,$0=0,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,network,artery.veins.World,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,processid,6118,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,repetition,0,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,replication,#0,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,resultdir,results,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,runnumber,0,,,
No_Obstacles-0-20191117-11:17:12-6118,runattr,,,seedset,0,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.traci.launcher.sumocfg,"""No_Obstacles/run.sumo.cfg""",,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].nic.mac1609_4.txPower,20mW,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].nic.phy80211p.decider,"xmldoc(""config.xml"")",,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].applType,"""artery.veins.ApplicationLayer""",,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].appl.middleware.updateInterval,0.1s,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].appl.middleware.datetime,"""2013-06-01 12:35:00""",,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].appl.middleware.services,"xmldoc(""services.xml"")",,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].appl.middleware.ExampleService.DecisionLogic,0,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.node[*].appl.middleware.ExampleService.NeighboringWindow,60,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.traci.core.version,-1,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.traci.launcher.typename,"""PosixLauncher""",,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.playgroundSizeX,4000m,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.playgroundSizeY,4000m,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.playgroundSizeZ,50m,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.connectionManager.maxInterfDist,1500m,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.connectionManager.sendDirect,true,,,
No_Obstacles-0-20191117-11:17:12-6118,param,,,*.connectionManager.coreDebug,false,,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].appl.middleware.CaService,#cam_sent,,,56,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].appl.middleware.ExampleService,#half_proofs,,,1,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].appl.middleware.ExampleService,#loc_proof_send,,,1,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.phy80211p,busyTime,,,0.0019071111111111,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,ReceivedBroadcasts,,,62,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,SentPackets,,,57,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,SNIRLostPackets,,,151,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,RXTXLostPackets,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,TotalLostPackets,,,151,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,TimesIntoBackoff,,,57,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,SlotsBackoff,,,421,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,NumInternalContention,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[2].nic.mac1609_4,totalBusyTime,,,0.043641,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].appl.middleware.CaService,#cam_sent,,,94,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].appl.middleware.ExampleService,#full_proofs,,,1,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].appl.middleware.ExampleService,#half_proofs,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].appl.middleware.ExampleService,#loc_proof_send,,,4,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.phy80211p,busyTime,,,0.0030451428571429,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,ReceivedBroadcasts,,,478,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,SentPackets,,,98,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,SNIRLostPackets,,,52,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,RXTXLostPackets,,,7,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,TotalLostPackets,,,59,,
No_Obstacles-0-20191117-11:17:12-6118,scalar,World.node[3].nic.mac1609_4,DroppedPacketsInMac,,,0,,
