run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,configname,No_Obstacles_Night,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,datetime,20191117-11:10:22,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,experiment,No_Obstacles_Night,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,inifile,omnetpp.ini,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,iterationvars,$0=80,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,iterationvarsf,80-,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,measurement,$0=80,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,network,artery.veins.World,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,processid,4847,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,repetition,0,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,replication,#0,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,resultdir,results,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,runnumber,2,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,runattr,,,seedset,2,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.traci.launcher.sumocfg,"""No_Obstacles_Night/run.sumo.cfg""",,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].nic.mac1609_4.txPower,20mW,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].nic.phy80211p.decider,"xmldoc(""config.xml"")",,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].applType,"""artery.veins.ApplicationLayer""",,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].appl.middleware.updateInterval,0.1s,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].appl.middleware.datetime,"""2013-06-01 12:35:00""",,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].appl.middleware.services,"xmldoc(""services.xml"")",,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].appl.middleware.ExampleService.DecisionLogic,80,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.node[*].appl.middleware.ExampleService.NeighboringWindow,60,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.traci.core.version,-1,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.traci.launcher.typename,"""PosixLauncher""",,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.playgroundSizeX,4000m,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.playgroundSizeY,4000m,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.playgroundSizeZ,50m,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.connectionManager.maxInterfDist,1500m,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.connectionManager.sendDirect,true,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,param,,,*.connectionManager.coreDebug,false,,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].appl.middleware.CaService,#cam_sent,,,158,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].appl.middleware.ExampleService,#half_proofs,,,1,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].appl.middleware.ExampleService,#loc_proof_send,,,6,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.phy80211p,busyTime,,,0.0028784680851064,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,ReceivedBroadcasts,,,760,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,SentPackets,,,164,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,SNIRLostPackets,,,77,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,RXTXLostPackets,,,3,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,TotalLostPackets,,,80,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,TimesIntoBackoff,,,166,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,SlotsBackoff,,,1317,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,NumInternalContention,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[5].nic.mac1609_4,totalBusyTime,,,0.160932,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].appl.middleware.CaService,#cam_sent,,,310,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].appl.middleware.ExampleService,#half_proofs,,,2,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].appl.middleware.ExampleService,#loc_proof_send,,,15,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.phy80211p,busyTime,,,0.00296768,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,ReceivedBroadcasts,,,2244,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,SentPackets,,,325,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,SNIRLostPackets,,,47,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,RXTXLostPackets,,,32,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,TotalLostPackets,,,79,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,TimesIntoBackoff,,,326,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,SlotsBackoff,,,2491,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,NumInternalContention,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[3].nic.mac1609_4,totalBusyTime,,,0.422197,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].appl.middleware.CaService,#cam_sent,,,355,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].appl.middleware.ExampleService,#half_proofs,,,2,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].appl.middleware.ExampleService,#loc_proof_send,,,15,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.phy80211p,busyTime,,,0.0030173793103448,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,ReceivedBroadcasts,,,1930,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,SentPackets,,,370,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,SNIRLostPackets,,,232,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,RXTXLostPackets,,,31,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,TotalLostPackets,,,263,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,TimesIntoBackoff,,,375,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,SlotsBackoff,,,2904,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,NumInternalContention,,,0,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[4].nic.mac1609_4,totalBusyTime,,,0.407842,,
No_Obstacles_Night-2-20191117-11:10:22-4847,scalar,World.node[7].appl.middleware.CaService,#cam_sent,,,268,,
