run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,configname,No_Obstacles_Night,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,datetime,20191117-11:09:09,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,experiment,No_Obstacles_Night,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,inifile,omnetpp.ini,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,iterationvars,$0=40,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,iterationvarsf,40-,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,measurement,$0=40,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,network,artery.veins.World,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,processid,4847,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,repetition,0,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,replication,#0,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,resultdir,results,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,runnumber,1,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,runattr,,,seedset,1,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.traci.launcher.sumocfg,"""No_Obstacles_Night/run.sumo.cfg""",,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].nic.mac1609_4.txPower,20mW,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].nic.phy80211p.decider,"xmldoc(""config.xml"")",,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].applType,"""artery.veins.ApplicationLayer""",,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].appl.middleware.updateInterval,0.1s,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].appl.middleware.datetime,"""2013-06-01 12:35:00""",,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].appl.middleware.services,"xmldoc(""services.xml"")",,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].appl.middleware.ExampleService.DecisionLogic,40,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.node[*].appl.middleware.ExampleService.NeighboringWindow,60,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.traci.core.version,-1,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.traci.launcher.typename,"""PosixLauncher""",,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.playgroundSizeX,4000m,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.playgroundSizeY,4000m,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.playgroundSizeZ,50m,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.connectionManager.maxInterfDist,1500m,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.connectionManager.sendDirect,true,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,param,,,*.connectionManager.coreDebug,false,,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].appl.middleware.CaService,#cam_sent,,,158,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].appl.middleware.ExampleService,#half_proofs,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].appl.middleware.ExampleService,#loc_proof_send,,,5,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.phy80211p,busyTime,,,0.0028607659574468,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,ReceivedBroadcasts,,,757,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,SentPackets,,,163,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,SNIRLostPackets,,,72,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,RXTXLostPackets,,,9,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,TotalLostPackets,,,81,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,TimesIntoBackoff,,,163,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,SlotsBackoff,,,1203,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,NumInternalContention,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[5].nic.mac1609_4,totalBusyTime,,,0.160515,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].appl.middleware.CaService,#cam_sent,,,310,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].appl.middleware.ExampleService,#half_proofs,,,2,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].appl.middleware.ExampleService,#loc_proof_send,,,13,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.phy80211p,busyTime,,,0.002980352,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,ReceivedBroadcasts,,,2246,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,SentPackets,,,323,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,SNIRLostPackets,,,58,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,RXTXLostPackets,,,13,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,TotalLostPackets,,,71,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,DroppedPacketsInMac,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,TooLittleTime,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,TimesIntoBackoff,,,324,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,SlotsBackoff,,,2225,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,NumInternalContention,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[3].nic.mac1609_4,totalBusyTime,,,0.422851,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].appl.middleware.CaService,#cam_sent,,,355,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].appl.middleware.ExampleService,#full_proofs,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].appl.middleware.ExampleService,#half_proofs,,,1,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].appl.middleware.ExampleService,#failed_proofs,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].appl.middleware.ExampleService,#loc_proof_send,,,12,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].nic.phy80211p,busyTime,,,0.0030155862068965,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].nic.mac1609_4,ReceivedUnicastPackets,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].nic.mac1609_4,ReceivedBroadcasts,,,1948,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].nic.mac1609_4,SentPackets,,,367,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].nic.mac1609_4,SentAcknowledgements,,,0,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].nic.mac1609_4,SNIRLostPackets,,,212,,
No_Obstacles_Night-1-20191117-11:09:09-4847,scalar,World.node[4].nic.mac1609_4,RXTXLostPackets,,,20,,
